style,gate,sample,source,pair,rotation_deg,pair_pt
numeric,rotate,rot90,source_000201_72,pair_001587.pt,90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt
numeric,rotate,rot180,source_000007_105,pair_002779.pt,180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt
timestamp,rotate,rot90,source_000123_20260514T144405909_NAS_PAN_L2b,pair_001509.pt,90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt
timestamp,rotate,rot180,source_000088_20260514T070226673_NAS_PAN_L2b,pair_002860.pt,180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt
numeric,viewpoint,01,source_000201_72,pair_002049.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000201_72/pair_002049.pt
numeric,viewpoint,02,source_000007_105,pair_000238.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/viewpoint/source_000007_105/pair_000238.pt
timestamp,viewpoint,01,source_000123_20260514T144405909_NAS_PAN_L2b,pair_003819.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/viewpoint/source_000123_20260514T144405909_NAS_PAN_L2b/pair_003819.pt
timestamp,viewpoint,02,source_000088_20260514T070226673_NAS_PAN_L2b,pair_004708.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/viewpoint/source_000088_20260514T070226673_NAS_PAN_L2b/pair_004708.pt
numeric,compound,01,source_000201_72,pair_002049.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/compound/source_000201_72/pair_002049.pt
numeric,compound,02,source_000007_105,pair_000238.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/compound/source_000007_105/pair_000238.pt
timestamp,compound,01,source_000123_20260514T144405909_NAS_PAN_L2b,pair_003819.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/compound/source_000123_20260514T144405909_NAS_PAN_L2b/pair_003819.pt
timestamp,compound,02,source_000088_20260514T070226673_NAS_PAN_L2b,pair_004708.pt,,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/compound/source_000088_20260514T070226673_NAS_PAN_L2b/pair_004708.pt
