style,gate,sample,pair_pt,algorithm,family,status,keypoints_a,keypoints_b,raw_matches,inlier_matches,correct,wrong,precision,mean_error_px,median_error_px,visualization,message
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,512,512,510,2,0.996094,0.332961,0.282019,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/numeric/rotate/rot90/rot90_source_000201_72_pair_001587.png,state=blend02540; score=learned; blend=4; margin=0.01; target_contrast=0
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,SIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.517628,0.506715,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.516847,0.508086,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,RootSIFT-r0.90-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.516847,0.508086,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/RootSIFT-r0.90-Ht2.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,ORB-cross-Ht3,classical,ok,1024,1024,256,256,256,0,1.000000,1.052749,0.927822,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/ORB-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,AKAZE-cross-Ht3,classical,ok,501,474,256,256,255,1,0.996094,0.269513,0.068349,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000201_72/pair_001587.pt,LightGlue-SIFT-Ht3,learned,ok,446,454,342,342,339,3,0.991228,0.628581,0.521484,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot90/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,512,512,512,0,1.000000,0.000088,0.000077,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/numeric/rotate/rot180/rot180_source_000007_105_pair_002779.png,state=blend02540; score=learned; blend=4; margin=0.01; target_contrast=0
numeric,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt,SIFT-r0.80-Ht2,classical,ok,1024,1025,256,256,256,0,1.000000,0.707146,0.707150,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot180/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1025,256,256,256,0,1.000000,0.707146,0.707150,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot180/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
