style,gate,algorithm,family,pairs,ok_pairs,raw_matches,inlier_matches,correct,wrong,precision,mean_inliers_per_pair,mean_correct_per_pair
numeric,compound,AKAZE-cross-Ht3,classical,2,2,332,332,128,204,0.385542,166.000000,64.000000
numeric,compound,LightGlue-SIFT-Ht3,learned,2,2,377,377,364,13,0.965517,188.500000,182.000000
numeric,compound,ORB-cross-Ht3,classical,2,2,512,512,266,246,0.519531,256.000000,133.000000
numeric,compound,PlanetaryFeatureMatch-current,pfm,2,2,233,233,20,213,0.085837,116.500000,10.000000
numeric,compound,RootSIFT-r0.80-Ht2,classical,2,2,207,207,179,28,0.864734,103.500000,89.500000
numeric,compound,RootSIFT-r0.90-Ht2,classical,2,2,512,512,342,170,0.667969,256.000000,171.000000
numeric,compound,SIFT-r0.80-Ht2,classical,2,2,221,221,168,53,0.760181,110.500000,84.000000
numeric,rotate,AKAZE-cross-Ht3,classical,2,2,512,512,511,1,0.998047,256.000000,255.500000
numeric,rotate,LightGlue-SIFT-Ht3,learned,2,2,658,658,655,3,0.995441,329.000000,327.500000
numeric,rotate,ORB-cross-Ht3,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
numeric,rotate,PlanetaryFeatureMatch-current,pfm,2,2,1024,1024,1022,2,0.998047,512.000000,511.000000
numeric,rotate,RootSIFT-r0.80-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
numeric,rotate,RootSIFT-r0.90-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
numeric,rotate,SIFT-r0.80-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
numeric,viewpoint,AKAZE-cross-Ht3,classical,2,2,308,308,145,163,0.470779,154.000000,72.500000
numeric,viewpoint,LightGlue-SIFT-Ht3,learned,2,2,531,531,516,15,0.971751,265.500000,258.000000
numeric,viewpoint,ORB-cross-Ht3,classical,2,2,512,512,306,206,0.597656,256.000000,153.000000
numeric,viewpoint,PlanetaryFeatureMatch-current,pfm,2,2,139,139,22,117,0.158273,69.500000,11.000000
numeric,viewpoint,RootSIFT-r0.80-Ht2,classical,2,2,261,261,241,20,0.923372,130.500000,120.500000
numeric,viewpoint,RootSIFT-r0.90-Ht2,classical,2,2,477,477,375,102,0.786164,238.500000,187.500000
numeric,viewpoint,SIFT-r0.80-Ht2,classical,2,2,259,259,225,34,0.868726,129.500000,112.500000
timestamp,compound,AKAZE-cross-Ht3,classical,2,2,143,143,44,99,0.307692,71.500000,22.000000
timestamp,compound,LightGlue-SIFT-Ht3,learned,2,2,342,342,315,27,0.921053,171.000000,157.500000
timestamp,compound,ORB-cross-Ht3,classical,2,2,447,447,134,313,0.299776,223.500000,67.000000
timestamp,compound,PlanetaryFeatureMatch-current,pfm,2,2,27,27,4,23,0.148148,13.500000,2.000000
timestamp,compound,RootSIFT-r0.80-Ht2,classical,2,2,233,233,204,29,0.875536,116.500000,102.000000
timestamp,compound,RootSIFT-r0.90-Ht2,classical,2,2,512,512,326,186,0.636719,256.000000,163.000000
timestamp,compound,SIFT-r0.80-Ht2,classical,2,2,209,209,176,33,0.842105,104.500000,88.000000
timestamp,rotate,AKAZE-cross-Ht3,classical,2,2,427,427,403,24,0.943794,213.500000,201.500000
timestamp,rotate,LightGlue-SIFT-Ht3,learned,2,2,472,472,471,1,0.997881,236.000000,235.500000
timestamp,rotate,ORB-cross-Ht3,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
timestamp,rotate,PlanetaryFeatureMatch-current,pfm,2,2,583,583,519,64,0.890223,291.500000,259.500000
timestamp,rotate,RootSIFT-r0.80-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
timestamp,rotate,RootSIFT-r0.90-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
timestamp,rotate,SIFT-r0.80-Ht2,classical,2,2,512,512,512,0,1.000000,256.000000,256.000000
timestamp,viewpoint,AKAZE-cross-Ht3,classical,2,2,70,70,51,19,0.728571,35.000000,25.500000
timestamp,viewpoint,LightGlue-SIFT-Ht3,learned,2,2,163,163,157,6,0.963190,81.500000,78.500000
timestamp,viewpoint,ORB-cross-Ht3,classical,2,2,333,333,175,158,0.525526,166.500000,87.500000
timestamp,viewpoint,PlanetaryFeatureMatch-current,pfm,2,2,127,127,5,122,0.039370,63.500000,2.500000
timestamp,viewpoint,RootSIFT-r0.80-Ht2,classical,2,2,257,257,254,3,0.988327,128.500000,127.000000
timestamp,viewpoint,RootSIFT-r0.90-Ht2,classical,2,2,314,314,254,60,0.808917,157.000000,127.000000
timestamp,viewpoint,SIFT-r0.80-Ht2,classical,2,2,259,259,248,11,0.957529,129.500000,124.000000
