iter,name,matches,features_a,features_b,elapsed,match_time,output_dir
0,current_best_default,30,247,242,172.183,142.156,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_000_current_best_default
1,max1024_grid8_nms2,28,130,126,34.630,4.639,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_001_max1024_grid8_nms2
2,max1024_grid12_nms2,28,130,126,34.733,4.703,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_002_max1024_grid12_nms2
3,max1024_grid12_nms1,8,1024,1024,37.071,4.616,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_003_max1024_grid12_nms1
4,max1024_grid12_nms4,28,130,126,33.371,4.612,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_004_max1024_grid12_nms4
5,max1024_grid12_pool1,28,130,126,34.560,4.649,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_005_max1024_grid12_pool1
6,max1024_grid16_topk32,28,130,126,34.487,4.591,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_006_max1024_grid16_topk32
7,max1024_min256_grid12_nms2,28,130,126,34.535,4.622,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_007_max1024_min256_grid12_nms2
8,max1024_min512_grid12_nms2,28,130,126,34.525,4.636,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_008_max1024_min512_grid12_nms2
9,max1024_min1024_grid12_nms2,28,130,126,34.565,4.628,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_009_max1024_min1024_grid12_nms2
10,max1499_min1024_grid12_nms2,36,188,180,32.160,2.231,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_010_max1499_min1024_grid12_nms2
11,max1499_min1499_grid12_nms2,36,188,180,32.134,2.220,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_011_max1499_min1499_grid12_nms2
12,feat1499_match_default,5,1499,1499,0.776,0.383,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_012_feat1499_match_default
13,feat1499_topk32,5,1499,1499,0.814,0.473,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_013_feat1499_topk32
14,feat1499_topk64,10,1499,1499,0.842,0.500,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_014_feat1499_topk64
15,feat1499_topk128,8,1499,1499,0.816,0.473,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_015_feat1499_topk128
16,feat1499_reciprocal,5,1499,1499,0.733,0.389,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_016_feat1499_reciprocal
17,feat1499_projective_first,7,1499,1499,0.598,0.256,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_017_feat1499_projective_first
18,feat1499_spread40,7,1499,1499,0.696,0.349,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_018_feat1499_spread40
19,feat1499_no_topk,6,1499,1499,0.410,0.067,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_019_feat1499_no_topk
20,feat1024_default,6,1024,1024,3.300,2.959,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_020_feat1024_default
21,feat1024_raw_graph,256,1024,1024,3.091,2.712,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_021_feat1024_raw_graph
22,feat1024_no_topk,5,1024,1024,3.094,2.753,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_022_feat1024_no_topk
23,feat1024_topk64,8,1024,1024,3.443,3.102,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_023_feat1024_topk64
24,feat1024_projective_first,6,1024,1024,3.189,2.847,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_024_feat1024_projective_first
25,max1499_int004,8,1499,1499,33.510,2.211,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_025_max1499_int004
26,max1499_int002,8,1499,1499,34.913,2.209,0,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_026_max1499_int002
27,max1499_int000,NA,NA,NA,NA,NA,143,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_027_max1499_int000
