iteration,name,sparse_matches,features_a,features_b,elapsed,match_time,path
001,max1024_grid8_nms2,28,130,126,34.630,4.639,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_001_max1024_grid8_nms2
002,max1024_grid12_nms2,28,130,126,34.733,4.703,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_002_max1024_grid12_nms2
003,max1024_grid12_nms1,8,1024,1024,37.071,4.616,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_003_max1024_grid12_nms1
004,max1024_grid12_nms4,28,130,126,33.371,4.612,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_004_max1024_grid12_nms4
005,max1024_grid12_pool1,28,130,126,34.560,4.649,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_005_max1024_grid12_pool1
006,max1024_grid16_topk32,28,130,126,34.487,4.591,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_006_max1024_grid16_topk32
007,max1024_min256_grid12_nms2,28,130,126,34.535,4.622,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_007_max1024_min256_grid12_nms2
008,max1024_min512_grid12_nms2,28,130,126,34.525,4.636,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_008_max1024_min512_grid12_nms2
009,max1024_min1024_grid12_nms2,28,130,126,34.565,4.628,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_009_max1024_min1024_grid12_nms2
010,max1499_min1024_grid12_nms2,36,188,180,32.160,2.231,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_010_max1499_min1024_grid12_nms2
011,max1499_min1499_grid12_nms2,36,188,180,32.134,2.220,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_011_max1499_min1499_grid12_nms2
012,feat1499_match_default,5,1499,1499,0.776,0.383,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_012_feat1499_match_default
013,feat1499_topk32,5,1499,1499,0.814,0.473,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_013_feat1499_topk32
014,feat1499_topk64,10,1499,1499,0.842,0.500,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_014_feat1499_topk64
015,feat1499_topk128,8,1499,1499,0.816,0.473,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_015_feat1499_topk128
016,feat1499_reciprocal,5,1499,1499,0.733,0.389,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_016_feat1499_reciprocal
017,feat1499_projective_first,7,1499,1499,0.598,0.256,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_017_feat1499_projective_first
018,feat1499_spread40,7,1499,1499,0.696,0.349,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_018_feat1499_spread40
019,feat1499_no_topk,6,1499,1499,0.410,0.067,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_019_feat1499_no_topk
020,feat1024_default,6,1024,1024,3.300,2.959,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_020_feat1024_default
021,feat1024_raw_graph,256,1024,1024,3.091,2.712,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_021_feat1024_raw_graph
022,feat1024_no_topk,5,1024,1024,3.094,2.753,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_022_feat1024_no_topk
023,feat1024_topk64,8,1024,1024,3.443,3.102,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_023_feat1024_topk64
024,feat1024_projective_first,6,1024,1024,3.189,2.847,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_024_feat1024_projective_first
025,max1499_int004,8,1499,1499,33.510,2.211,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_025_max1499_int004
026,max1499_int002,8,1499,1499,34.913,2.209,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_026_max1499_int002
028,max1499_grid8_int004,8,1499,1499,33.590,2.200,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_028_max1499_grid8_int004
029,max1499_grid16_int004,8,1499,1499,33.595,2.197,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_029_max1499_grid16_int004
030,max1499_grid12_kpc2,39,376,359,31.705,2.581,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_030_max1499_grid12_kpc2
031,max1499_grid12_kpc4,38,745,716,32.842,3.594,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_031_max1499_grid12_kpc4
032,max1499_grid12_kpc8,50,1475,1420,31.368,2.294,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_032_max1499_grid12_kpc8
033,max2048_grid12_kpc4,52,979,960,168.520,139.403,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_033_max2048_grid12_kpc4
034,max1499_grid12_kpc8_rotation_only,82,1499,1499,28.864,0.022,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_034_max1499_grid12_kpc8_rotation_only
035,max1499_grid12_kpc8_rotation_only_topk32,120,1499,1499,28.924,0.023,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_035_max1499_grid12_kpc8_rotation_only_topk32
036,max1499_grid12_kpc8_rotation_only_topk64,134,1499,1499,28.853,0.031,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_036_max1499_grid12_kpc8_rotation_only_topk64
037,max2048_grid12_kpc8_rotation_only_topk64,169,2048,2048,161.442,132.591,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_037_max2048_grid12_kpc8_rotation_only_topk64
038,max2048_grid12_kpc8_rotation_only_topk64_fastpath,169,2048,2048,28.867,0.034,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_038_max2048_grid12_kpc8_rotation_only_topk64_fastpath
039,max4096_grid16_kpc8_rotation_only_topk64_fastpath,237,4096,4096,28.984,0.056,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_039_max4096_grid16_kpc8_rotation_only_topk64_fastpath
040,max8192_grid32_kpc8_rotation_only_topk64_fastpath,282,5907,5511,29.100,0.077,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_040_max8192_grid32_kpc8_rotation_only_topk64_fastpath
041,max8192_grid32_kpc8_rotation_only_topk128_fastpath,213,5907,5511,29.157,0.090,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_041_max8192_grid32_kpc8_rotation_only_topk128_fastpath
042,max8192_grid32_kpc8_nms1_rotation_only_topk64_fastpath,290,8192,8192,32.037,0.121,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/极端测试/overnight_2026-05-24_extreme_pair/iter_042_max8192_grid32_kpc8_nms1_rotation_only_topk64_fastpath
